"Ticker
","Name
","Inception Date
","Fund Asset Class Focus
","Parent Comp. Name
","Fund Industry Focus
","Tot Asset (M)
"
BBISX US Equity,STERLING CAP BEH L/C VAL-INS,10/9/1992,Equity,Sterling Capital Funds,N.A.,35.343
UGCE US Equity,UNCOMMON PORT DES CORE EQTY,4/16/2021,Equity,Uncommon Investment Funds Trust,N.A.,35.212
APRAX US Equity,AAM/PHOCAS REAL ESTATE-A,8/27/2018,Equity,Investment Managers Series Trust/Advisors Asset Management Inc,Real Estate,35.186
PQJCX US Equity,PGIM JENN SM CAP CORE-Q,4/3/2017,Equity,Prudential Investment Portfolios 2,N.A.,35.118
UJUL US Equity,INNOVATOR U.S. EQUITY ULTRA,8/8/2018,Equity,Innovator ETF Trust,N.A.,35.049
UGSDX US Equity,USGI US GOVT SEC ULTRA-SHORT,4/1/1986,Fixed Income,US Global Investors Funds,N.A.,34.999
ACVF US Equity,AMERICAN CONSERVATIVE VALUES,10/29/2020,Equity,ETF Opportunities Trust,N.A.,34.691
DTSVX US Equity,WILSHIRE MTL SM CAP VAL-INV,9/30/1992,Equity,Wilshire Mutual Funds Inc,N.A.,34.611
SSPGX US Equity,STATE ST INST PREM GROW EQ-I,10/29/1999,Equity,State Street Institutional Funds,N.A.,34.33
QJUN US Equity,FT CBOE VEST NASDAQ-100 BUFF,6/21/2021,Equity,First Trust ETFs/USA,N.A.,34.297
WGCIX US Equity,ALLSPRING GL INV GR CR-I,3/1/2019,Fixed Income,Allspring Funds Trust,N.A.,34.257
PAGRX US Equity,AGGRESSIVE GROWTH PORT-I,1/2/1990,Equity,Permanent Portfolio Family of Funds Inc,N.A.,34.214
RMHYX US Equity,RUSSELL MULTIFACTOR BOND-Y,11/13/2019,Fixed Income,Russell Investment Co,N.A.,34.158
SMSVX US Equity,HRTFRD SCH EM MKT M/S BD-A,6/25/2013,Fixed Income,Hartford Mutual Funds II Inc,N.A.,34.148
IECAX US Equity,DEL IVY EM MK L/C DBT-A,4/30/2014,Fixed Income,Ivy Funds,N.A.,34.108
