year,month,NROU
2002,12,5.1015138386666665
2003,1,5.09799
2003,2,5.094501666666667
2003,3,5.091013333333334
2003,4,5.087525
2003,5,5.084084
2003,6,5.080643
2003,7,5.077202
2003,8,5.073820854333333
2003,9,5.070439708666666
2003,10,5.067058563
2003,11,5.063747708666667
2003,12,5.060436854333333
2004,1,5.057126
2004,2,5.0538948076666665
2004,3,5.050663615333334
2004,4,5.047432423
2004,5,5.044290948666667
2004,6,5.041149474333333
2004,7,5.0380080000000005
2004,8,5.034964896333333
2004,9,5.031921792666667
2004,10,5.028878689
2004,11,5.025944459333333
2004,12,5.023010229666667
2005,1,5.020076
2005,2,5.017263000000001
2005,3,5.01445
2005,4,5.011637
2005,5,5.0089761600000005
2005,6,5.00631532
2005,7,5.00365448
2005,8,5.001341912
2005,9,4.999029344
2005,10,4.996716776
2005,11,4.993483429666667
2005,12,4.990250083333334
2006,1,4.987016737
2006,2,4.9835893166666665
2006,3,4.980161896333334
2006,4,4.976734476
2006,5,4.973160036666666
2006,6,4.969585597333333
2006,7,4.966011158
2006,8,4.962354132
2006,9,4.958697106
2006,10,4.95504008
2006,11,4.951375713333333
2006,12,4.947711346666667
2007,1,4.94404698
2007,2,4.940454179666667
2007,3,4.936861379333333
2007,4,4.933268579
2007,5,4.929820765666666
2007,6,4.926372952333334
2007,7,4.922925139
2007,8,4.919681534333334
2007,9,4.9164379296666665
2007,10,4.913194325
2007,11,4.910193456333333
2007,12,4.907192587666667
2008,1,4.904191719
2008,2,4.901448002666666
2008,3,4.898704286333333
2008,4,4.89596057
2008,5,4.893463966666666
2008,6,4.890967363333333
2008,7,4.88847076
2008,8,4.886188271666667
2008,9,4.883905783333333
2008,10,4.881623295
2008,11,4.879502830333333
2008,12,4.877382365666667
2009,1,4.875261901
2009,2,4.873238689
2009,3,4.871215477
2009,4,4.869192265
2009,5,4.8671968366666665
2009,6,4.865201408333333
2009,7,4.86320598
2009,8,4.861172968
2009,9,4.859139956
2009,10,4.857106944
2009,11,4.854980723666666
2009,12,4.852854503333334
2010,1,4.8507282830000005
2010,2,4.848464385666667
2010,3,4.846200488333333
2010,4,4.843936591
2010,5,4.841501359666667
2010,6,4.839066128333333
2010,7,4.836630897
2010,8,4.8340015523333335
2010,9,4.831372207666667
2010,10,4.828742863
2010,11,4.825909911
2010,12,4.823076959
2011,1,4.820244006999999
2011,2,4.817215379333333
2011,3,4.814186751666666
2011,4,4.811158123999999
2011,5,4.807962020333333
2011,6,4.804765916666667
2011,7,4.801569813
2011,8,4.798253914666667
2011,9,4.794938016333334
2011,10,4.791622118
2011,11,4.788247921666667
2011,12,4.784873725333334
2012,1,4.781499529
2012,2,4.778132859666667
2012,3,4.774766190333334
2012,4,4.771399521
2012,5,4.768100585666667
2012,6,4.764801650333333
2012,7,4.761502715
2012,8,4.758318095666667
2012,9,4.7551334763333335
2012,10,4.751948857
2012,11,4.7489075236666665
2012,12,4.7458661903333335
2013,1,4.742824857
2013,2,4.739938977333333
2013,3,4.737053097666667
2013,4,4.7341672180000005
2013,5,4.731435896000001
2013,6,4.728704574
2013,7,4.725973252
2013,8,4.723386265666667
2013,9,4.720799279333334
2013,10,4.718212293000001
2013,11,4.715753249333334
2013,12,4.713294205666667
2014,1,4.710835162
2014,2,4.7084837183333335
2014,3,4.706132274666667
2014,4,4.703780831
2014,5,4.701513833333333
2014,6,4.699246835666667
2014,7,4.696979838
2014,8,4.694771984666667
2014,9,4.6925641313333335
2014,10,4.690356278
2014,11,4.688181365
2014,12,4.686006452
2015,1,4.683831539
2015,2,4.681663848
2015,3,4.679496157
2015,4,4.6773284660000005
2015,5,4.675143842000001
2015,6,4.672959218
2015,7,4.670774594
2015,8,4.6685521806666666
2015,9,4.666329767333334
2015,10,4.664107354
2015,11,4.661831590333334
2015,12,4.659555826666667
2016,1,4.657280063
2016,2,4.654942296333333
2016,3,4.652604529666667
2016,4,4.650266763
2016,5,4.647866440666667
2016,6,4.645466118333333
2016,7,4.643065796
2016,8,4.640609701333333
2016,9,4.638153606666667
2016,10,4.635697512
2016,11,4.633195829666667
2016,12,4.630694147333333
2017,1,4.628192465
2017,2,4.625652984333334
2017,3,4.623113503666667
2017,4,4.6205740230000005
2017,5,4.617995678333334
2017,6,4.615417333666667
2017,7,4.612838989
2017,8,4.610206116333334
2017,9,4.607573243666667
2017,10,4.6049403710000005
2017,11,4.602221758666667
2017,12,4.599503146333333
2018,1,4.596784534
2018,2,4.593937767
2018,3,4.5910910000000005
2018,4,4.588244233
2018,5,4.585223774666667
2018,6,4.5822033163333336
2018,7,4.579182858
2018,8,4.575951350333334
2018,9,4.572719842666666
2018,10,4.569488335
2018,11,4.5660280066666665
2018,12,4.562567678333333
2019,1,4.55910735
2019,2,4.555429005666666
2019,3,4.551750661333333
2019,4,4.548072317
2019,5,4.544221006333333
2019,6,4.540369695666667
2019,7,4.536518385
2019,8,4.532573063666667
2019,9,4.528627742333334
2019,10,4.5246824210000005
2019,11,4.520746946333333
2019,12,4.516811471666667
2020,1,4.512875997
2020,2,4.509062356666667
2020,3,4.505248716333333
2020,4,4.501435076
2020,5,4.497842797666666
2020,6,4.494250519333334
2020,7,4.490658241
2020,8,4.487357603
2020,9,4.484056965
2020,10,4.480756327
2020,11,4.477781829333333
2020,12,4.474807331666667
2021,1,4.471832834
2021,2,4.469185723
2021,3,4.466538612
2021,4,4.463891501
2021,5,4.461549394
2021,6,4.459207287
2021,7,4.45686518
2021,8,4.454793807333334
2021,9,4.452722434666667
2021,10,4.450651062
2021,11,4.448812909666667
2021,12,4.446974757333334
2022,1,4.445136605
2022,2,4.443495601
2022,3,4.441854597
2022,4,4.440213593
2022,5,4.438736977333334
2022,6,4.437260361666667
2022,7,4.435783746
2022,8,4.434442356666667
2022,9,4.433100967333334
2022,10,4.431759578
2022,11,4.4305276540000005
2022,12,4.42929573
2023,1,4.428063806
2023,2,4.42691885
2023,3,4.425773894
2023,4,4.424628938
2023,5,4.423551541
2023,6,4.422474144
2023,7,4.421396747
2023,8,4.420370308
2023,9,4.419343869
2023,10,4.41831743
2023,11,4.417327615666666
2023,12,4.416337801333333
2024,1,4.415347987
2024,2,4.414381973999999
2024,3,4.413415961
2024,4,4.412449948
2024,5,4.411495665666667
2024,6,4.410541383333333
2024,7,4.4095871010000005
2024,8,4.408632665000001
2024,9,4.407678229
2024,10,4.406723793
2024,11,4.405757325666667
2024,12,4.4047908583333335
2025,1,4.403824391000001
2025,2,4.402834233
2025,3,4.4018440750000005
2025,4,4.400853917
2025,5,4.399829066666666
2025,6,4.398804216333334
2025,7,4.397779366
2025,8,4.396709886333333
2025,9,4.395640406666667
2025,10,4.394570927
2025,11,4.3934481566666665
2025,12,4.392325386333334
2026,1,4.391202616
2026,2,4.390019163333333
2026,3,4.388835710666667
2026,4,4.387652258
2026,5,4.3864019873333335
2026,6,4.385151716666667
2026,7,4.383901446
2026,8,4.38257952
2026,9,4.381257594
2026,10,4.379935668
2026,11,4.3785388156666665
2026,12,4.377141963333334
2027,1,4.3757451110000005
2027,2,4.374272083
2027,3,4.372799055000001
2027,4,4.371326027
2027,5,4.369778073
2027,6,4.368230119000001
2027,7,4.366682165
2027,8,4.3650632300000005
2027,9,4.363444295
2027,10,4.36182536
2027,11,4.360141795666666
2027,12,4.3584582313333335
2028,1,4.356774667
2028,2,4.355034473
